CELL,CVENTMUN,Furb,Frural,Fpob,Pob_urbana,Pob_rural,Pob_ur+ru,Purb_T,Prur_T,PobTot
700059,2005,,0.001648012,0.001648012,,24,24,,14563,14563
700062,2005,,0.000137334,0.000137334,,2,2,,14563,14563
700072,2001,,1.46E-05,1.46E-05,,1,1,,68692,68692
701118,2005,,0.05630708,0.05630708,,820,820,,14563,14563
701121,2005,,6.87E-05,6.87E-05,,1,1,,14563,14563
701123,2005,,0.000274669,0.000274669,,4,4,,14563,14563
701124,2001,,0.001062715,0.001062715,,73,73,,68692,68692
701131,2001,,0.00122285,0.00122285,,84,84,,68692,68692
702176,2005,,0.003090023,0.003090023,,45,45,,14563,14563
702177,2005,,0.061731786,0.061731786,,899,899,,14563,14563
702178,2005,,0.000618005,0.000618005,,9,9,,14563,14563
702182,2005,,0.000274669,0.000274669,,4,4,,14563,14563
702190,2001,,1.46E-05,1.46E-05,,1,1,,68692,68692
702191,2001,,0.000145577,0.000145577,,10,10,,68692,68692
703235,2005,0.023796071,,0.019974632,1811,,1811,76102,14563,90665
703236,2005,0.040851455,0.002540685,0.034699167,3109,37,3146,76102,14563,90665
703237,2005,,0.000206002,0.000206002,,3,3,,14563,14563
703246,2004,,0.003952373,0.003952373,,159,159,,40229,40229
703247,2004,,0.000845161,0.000845161,,34,34,,40229,40229
703248,2004,,4.97E-05,4.97E-05,,2,2,,40229,40229
703249,2003,,0.00065591,0.00065591,,15,15,,22869,22869
703250,2003,,0.000218637,0.000218637,,5,5,,22869,22869
704293,2005,,0.008171393,0.008171393,,119,119,,14563,14563
704294,2005,1.31E-05,0.147016411,0.023625434,1,2141,2142,76102,14563,90665
704295,2005,,0.004257365,0.004257365,,62,62,,14563,14563
704306,2004,,0.000149146,0.000149146,,6,6,,40229,40229
704307,2003,,0.000218637,0.000218637,,5,5,,22869,22869
704307,2004,,0.000571727,0.000571727,,23,23,,40229,40229
704309,2003,,8.75E-05,8.75E-05,,2,2,,22869,22869
705350,2005,,0.011330083,0.011330083,,165,165,,14563,14563
705351,2005,,0.031449564,0.031449564,,458,458,,14563,14563
705352,2005,,0.019982147,0.019982147,,291,291,,14563,14563
705353,2005,,0.002266017,0.002266017,,33,33,,14563,14563
705354,2005,,0.000206002,0.000206002,,3,3,,14563,14563
705355,2005,,0.001167342,0.001167342,,17,17,,14563,14563
705356,2005,,0.000686672,0.000686672,,10,10,,14563,14563
705364,2003,,4.37E-05,4.37E-05,,1,1,,22869,22869
705364,2004,,4.97E-05,4.97E-05,,2,2,,40229,40229
705365,2003,,0.002361275,0.002361275,,54,54,,22869,22869
705365,2004,,2.49E-05,2.49E-05,,1,1,,40229,40229
705366,2003,,0.02133893,0.02133893,,488,488,,22869,22869
705367,2003,,8.75E-05,8.75E-05,,2,2,,22869,22869
706409,2005,0.002483411,0.0499897,0.010114157,189,728,917,76102,14563,90665
706410,2005,,0.018471469,0.018471469,,269,269,,14563,14563
706411,2005,,0.000549337,0.000549337,,8,8,,14563,14563
706412,2004,,4.97E-05,4.97E-05,,2,2,,40229,40229
706412,2005,,0.000137334,0.000137334,,2,2,,14563,14563
