"GRIDCODE,CVENTMUN,LONG_VIALIDADES TOTAL x SENTIDO x MUNICIPIO (m),LONG VIALIDAD x SENTIDO x CELDA",,LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),LONG_CARR_x_CELDA x CARRILES,FC
703248,2004,359563.0365,2778.06746,0.007726232
704307,2004,359563.0365,3979.498148,0.011067595
707481,2004,359563.0365,179.5153657,0.00049926
709596,2004,359563.0365,3562.025005,0.009906538
710654,2004,359563.0365,900.0301032,0.002503122
710655,2004,359563.0365,2453.430542,0.006823367
711703,2004,359563.0365,11340.04603,0.031538409
711704,2004,359563.0365,4996.642208,0.013896429
711705,2004,359563.0365,7719.736651,0.021469773
711709,2004,359563.0365,7002.240902,0.019474307
711710,2004,359563.0365,6390.724631,0.017773586
711711,2004,359563.0365,5753.330646,0.016000896
711713,2004,359563.0365,3411.561025,0.009488075
712761,2004,359563.0365,9634.359614,0.026794633
712762,2004,359563.0365,3440.875605,0.009569603
712764,2004,359563.0365,10909.63163,0.03034136
712767,2004,359563.0365,6832.168244,0.019001309
712768,2004,359563.0365,1199.486334,0.003335956
712770,2004,359563.0365,655.4908616,0.001823021
712771,2004,359563.0365,6389.982297,0.017771522
712772,2004,359563.0365,8007.105959,0.022268991
712773,2004,359563.0365,7667.831905,0.021325418
712774,2004,359563.0365,3372.796366,0.009380264
713820,2004,359563.0365,12200.35374,0.033931057
713823,2004,359563.0365,10991.90474,0.030570174
713824,2004,359563.0365,2626.956571,0.007305969
713825,2004,359563.0365,2642.616221,0.007349521
713826,2004,359563.0365,4784.681186,0.013306933
713833,2004,359563.0365,7976.000867,0.022182483
713834,2004,359563.0365,464.0602832,0.001290623
714879,2004,359563.0365,14239.29368,0.039601662
714880,2004,359563.0365,247.3063197,0.000687797
714881,2004,359563.0365,3799.963398,0.010568282
714882,2004,359563.0365,21381.48141,0.059465182
714883,2004,359563.0365,7442.791032,0.020699544
714884,2004,359563.0365,6851.130892,0.019054047
714890,2004,359563.0365,1398.32715,0.003888962
714891,2004,359563.0365,16666.47105,0.046352014
714892,2004,359563.0365,12236.40131,0.03403131
714893,2004,359563.0365,2148.619193,0.00597564
715938,2004,359563.0365,1113.36219,0.003096431
715939,2004,359563.0365,22249.11482,0.061878204
715940,2004,359563.0365,9662.189145,0.026872031
715941,2004,359563.0365,6593.836105,0.01833847
715942,2004,359563.0365,6137.103405,0.017068227
715943,2004,359563.0365,5843.646568,0.016252078
715944,2004,359563.0365,6009.320227,0.016712842
715945,2004,359563.0365,6021.246922,0.016746012
715946,2004,359563.0365,9775.038438,0.027185882
715947,2004,359563.0365,13327.46455,0.037065725
715948,2004,359563.0365,15019.83375,0.041772463
715949,2004,359563.0365,11135.94352,0.030970768
