CVID,Horas,Uso
700051,8,PST
700052,8,PST
700053,8,PST
700054,8,PST
700055,8,PST
700056,8,PST
700057,8,PST
700058,8,PST
700059,8,PST
700060,8,PST
700061,8,PST
700062,8,PST
700063,8,PST
700064,8,PST
700065,8,PST
700066,8,PST
700067,8,PST
700068,8,PST
700069,8,PST
700070,8,PST
700071,8,PST
700072,8,PST
700073,8,PST
701110,8,PST
701111,8,PST
701112,8,PST
701113,8,PST
701114,8,PST
701115,8,PST
701116,8,PST
701117,8,PST
701118,8,PST
701119,8,PST
701120,8,PST
701121,8,PST
701122,8,PST
701123,8,PST
701124,8,PST
701125,8,PST
701126,8,PST
701127,8,PST
701128,8,PST
701129,8,PST
701130,8,PST
701131,8,PST
701132,8,PST
702169,8,PST
702170,8,PST
702171,8,PST
702172,8,PST
702173,8,PST
702174,8,PST
702175,8,PST
702176,8,PST
702177,8,PST
702178,8,PST
702179,8,PST
702180,8,PST
702181,8,PST
702182,8,PST
702183,8,PST
702184,8,PST
702185,8,PST
702186,8,PST
702187,8,PST
702188,8,PST
702189,8,PST
702190,8,PST
702191,8,PST
703228,8,PST
703229,8,PST
703230,8,PST
703231,8,PST
703232,8,PST
703233,8,PST
703234,8,PST
703235,8,PST
703236,8,PST
703237,8,PST
703238,8,PST
703239,8,PST
703240,8,PST
703241,8,PST
703242,8,PST
703243,8,PST
703244,8,PST
703245,8,PST
703246,8,PST
703247,8,PST
703248,8,PST
703249,8,PST
703250,8,PST
704287,8,PST
704288,8,PST
704289,8,PST
704290,8,PST
704291,8,PST
704292,8,PST
704293,8,PST
704294,8,PST
704295,8,PST
704296,8,PST
704297,8,PST
704298,8,PST
704299,8,PST
704300,8,PST
704301,8,PST
704302,8,PST
704303,8,PST
704304,8,PST
704305,8,PST
704306,8,PST
704307,8,PST
704308,8,PST
704309,8,PST
705346,8,PST
705347,8,PST
705348,8,PST
705349,8,PST
705350,8,PST
705351,8,PST
705352,8,PST
705353,8,PST
705354,8,PST
705355,8,PST
705356,8,PST
705357,8,PST
705358,8,PST
705359,8,PST
705360,8,PST
705361,8,PST
705362,8,PST
705363,8,PST
705364,8,PST
705365,8,PST
705366,8,PST
705367,8,PST
705368,8,PST
706405,8,PST
706406,8,PST
706407,8,PST
706408,8,PST
706409,8,PST
706410,8,PST
706411,8,PST
706412,8,PST
706413,8,PST
706414,8,PST
706415,8,PST
706416,8,PST
706417,8,PST
706418,8,PST
706419,8,PST
706420,8,PST
706421,8,PST
706422,8,PST
706423,8,PST
706424,8,PST
706425,8,PST
706426,8,PST
706427,8,PST
707464,8,PST
707465,8,PST
707466,8,PST
707467,8,PST
707468,8,PST
707469,8,PST
707470,8,PST
707471,8,PST
707472,8,PST
707473,8,PST
707474,8,PST
707475,8,PST
707476,8,PST
707477,8,PST
707478,8,PST
707479,8,PST
707480,8,PST
707481,8,PST
707482,8,PST
707483,8,PST
707484,8,PST
707485,8,PST
707486,8,PST
708523,8,PST
708524,8,PST
708525,8,PST
708526,8,PST
708527,8,PST
708528,8,PST
708529,8,PST
708530,8,PST
708531,8,PST
708532,8,PST
708533,8,PST
708534,8,PST
708535,8,PST
708536,8,PST
708537,8,PST
708538,8,PST
708539,8,PST
708540,8,PST
708541,8,PST
708542,8,PST
708543,8,PST
708544,8,PST
708545,8,PST
709582,8,PST
709583,8,PST
709584,8,PST
709585,8,PST
709586,8,PST
709587,8,PST
709588,8,PST
709589,8,PST
709590,8,PST
709591,8,PST
709592,8,PST
709593,8,PST
709594,8,PST
709595,8,PST
709596,8,PST
709597,8,PST
709598,8,PST
709599,8,PST
709600,8,PST
709601,8,PST
709602,8,PST
709603,8,PST
709604,8,PST
710641,8,PST
710642,8,PST
710643,8,PST
710644,8,PST
710645,8,PST
710646,8,PST
710647,8,PST
710648,8,PST
710649,8,PST
710650,8,PST
710651,8,PST
710652,8,PST
710653,8,PST
710654,8,PST
710655,8,PST
710656,8,PST
710657,8,PST
710658,8,PST
710659,8,PST
710660,8,PST
710661,8,PST
710662,8,PST
710663,8,PST
711700,8,PST
711701,8,PST
711702,8,PST
711703,8,PST
711704,8,PST
711705,8,PST
711706,8,PST
711707,8,PST
711708,8,PST
711709,8,PST
711710,8,PST
711711,8,PST
711712,8,PST
711713,8,PST
711714,8,PST
711715,8,PST
711716,8,PST
711717,8,PST
711718,8,PST
711719,8,PST
711720,8,PST
711721,8,PST
711722,8,PST
712759,8,PST
712760,8,PST
712761,8,PST
712762,8,PST
712763,8,PST
712764,8,PST
712765,8,PST
712766,8,PST
712767,8,PST
712768,8,PST
712769,8,PST
712770,8,PST
712771,8,PST
712772,8,PST
712773,8,PST
712774,8,PST
712775,8,PST
712776,8,PST
712777,8,PST
712778,8,PST
712779,8,PST
712780,8,PST
712781,8,PST
713818,8,PST
713819,8,PST
713820,8,PST
713821,8,PST
713822,8,PST
713823,8,PST
713824,8,PST
713825,8,PST
713826,8,PST
713827,8,PST
713828,8,PST
713829,8,PST
713830,8,PST
713831,8,PST
713832,8,PST
713833,8,PST
713834,8,PST
713835,8,PST
713836,8,PST
713837,8,PST
713838,8,PST
713839,8,PST
713840,8,PST
714877,8,PST
714878,8,PST
714879,8,PST
714880,8,PST
714881,8,PST
714882,8,PST
714883,8,PST
714884,8,PST
714885,8,PST
714886,8,PST
714887,8,PST
714888,8,PST
714889,8,PST
714890,8,PST
714891,8,PST
714892,8,PST
714893,8,PST
714894,8,PST
714895,8,PST
714896,8,PST
714897,8,PST
714898,8,PST
714899,8,PST
715936,8,PST
715937,8,PST
715938,8,PST
715939,8,PST
715940,8,PST
715941,8,PST
715942,8,PST
715943,8,PST
715944,8,PST
715945,8,PST
715946,8,PST
715947,8,PST
715948,8,PST
715949,8,PST
715950,8,PST
715951,8,PST
715952,8,PST
715953,8,PST
715954,8,PST
715955,8,PST
715956,8,PST
715957,8,PST
715958,8,PST
11037,8,PST
11038,8,PST
11039,8,PST
11040,8,PST
11041,8,PST
11042,8,PST
11043,8,PST
11044,8,PST
11045,8,PST
11046,8,PST
12000,8,PST
12001,8,PST
12002,8,PST
12003,8,PST
12004,8,PST
12005,8,PST
12006,8,PST
12007,8,PST
12008,8,PST
12009,8,PST
12010,8,PST
12011,8,PST
12012,8,PST
12013,8,PST
12014,8,PST
12015,8,PST
12016,8,PST
12017,8,PST
12018,8,PST
12019,8,PST
12020,8,PST
12021,8,PST
12022,8,PST
12023,8,PST
12024,8,PST
12025,8,PST
12026,8,PST
12027,8,PST
12028,8,PST
12029,8,PST
12030,8,PST
12031,8,PST
12032,8,PST
12033,8,PST
12034,8,PST
12035,8,PST
12036,8,PST
12037,8,PST
12038,8,PST
12039,8,PST
12040,8,PST
12041,8,PST
12042,8,PST
12043,8,PST
12044,8,PST
12045,8,PST
12046,8,PST
12047,8,PST
12048,8,PST
12049,8,PST
12050,8,PST
12051,8,PST
12052,8,PST
12053,8,PST
12054,8,PST
12055,8,PST
12056,8,PST
12057,8,PST
12058,8,PST
12059,8,PST
12060,8,PST
12061,8,PST
12062,8,PST
12063,8,PST
12064,8,PST
12065,8,PST
12066,8,PST
12067,8,PST
12068,8,PST
12069,8,PST
12070,8,PST
12071,8,PST
12072,8,PST
12073,8,PST
12074,8,PST
12075,8,PST
12076,8,PST
12077,8,PST
12078,8,PST
12079,8,PST
12080,8,PST
12081,8,PST
13000,8,PST
13001,8,PST
13002,8,PST
13003,8,PST
13004,8,PST
13005,8,PST
13006,8,PST
13007,8,PST
13008,8,PST
13009,8,PST
13010,8,PST
13011,8,PST
13012,8,PST
13013,8,PST
13014,8,PST
13015,8,PST
13016,8,PST
13017,8,PST
13018,8,PST
13019,8,PST
13020,8,PST
13021,8,PST
13022,8,PST
13023,8,PST
13024,8,PST
13025,8,PST
13026,8,PST
13027,8,PST
13028,8,PST
13029,8,PST
13030,8,PST
13031,8,PST
13032,8,PST
13033,8,PST
13034,8,PST
13035,8,PST
13036,8,PST
13037,8,PST
13038,8,PST
13039,8,PST
13040,8,PST
13041,8,PST
13042,8,PST
13043,8,PST
13044,8,PST
13045,8,PST
13046,8,PST
13047,8,PST
13048,8,PST
13049,8,PST
13050,8,PST
13051,8,PST
13052,8,PST
13053,8,PST
13054,8,PST
13055,8,PST
13056,8,PST
13057,8,PST
13058,8,PST
13059,8,PST
13060,8,PST
13061,8,PST
13062,8,PST
13063,8,PST
13064,8,PST
13065,8,PST
13066,8,PST
13067,8,PST
13068,8,PST
13069,8,PST
13070,8,PST
13071,8,PST
13072,8,PST
13073,8,PST
13074,8,PST
13075,8,PST
13076,8,PST
13077,8,PST
13078,8,PST
13079,8,PST
13080,8,PST
13081,8,PST
13082,8,PST
13083,8,PST
13084,8,PST
14000,8,PST
14001,8,PST
14002,8,PST
14003,8,PST
14004,8,PST
14005,8,PST
14006,8,PST
14007,8,PST
14008,8,PST
14009,8,PST
14010,8,PST
14011,8,PST
14012,8,PST
14013,8,PST
14014,8,PST
14015,8,PST
14016,8,PST
14017,8,PST
14018,8,PST
14019,8,PST
14020,8,PST
14021,8,PST
14022,8,PST
14023,8,PST
14024,8,PST
14025,8,PST
14026,8,PST
14027,8,PST
14028,8,PST
14029,8,PST
14030,8,PST
