CELL,"X (Coord. GEOF.,ITRF92)","Y (Coord. GEOF.,ITRF92)",Huso,Pob,"X (CCL,ITRF92)","Y (CCL,ITRF92)",UTMZ
23,16,,PST,,,,
700051,-117.140137,32.118889,8,0,1065321.774,2303649.062,11
700052,-117.108712,32.12172,8,0,1068321.774,2303649.062,11
700053,-117.077286,32.124545,8,0,1071321.774,2303649.062,11
700054,-117.045858,32.127364,8,0,1074321.774,2303649.062,11
700055,-117.014428,32.130177,8,0,1077321.774,2303649.062,11
700056,-116.982998,32.132984,8,0,1080321.774,2303649.062,11
700057,-116.951565,32.135786,8,0,1083321.774,2303649.062,11
700058,-116.920132,32.138581,8,0,1086321.774,2303649.062,11
700059,-116.888697,32.141371,8,24,1089321.774,2303649.062,11
700060,-116.85726,32.144154,8,0,1092321.774,2303649.062,11
700061,-116.825822,32.146932,8,0,1095321.774,2303649.062,11
700062,-116.794383,32.149704,8,2,1098321.774,2303649.062,11
700063,-116.762942,32.15247,8,0,1101321.774,2303649.062,11
700064,-116.731499,32.15523,8,0,1104321.774,2303649.062,11
700065,-116.700056,32.157985,8,0,1107321.774,2303649.062,11
700066,-116.668611,32.160733,8,0,1110321.774,2303649.062,11
700067,-116.637164,32.163475,8,0,1113321.774,2303649.062,11
700068,-116.605716,32.166212,8,0,1116321.774,2303649.062,11
700069,-116.574267,32.168943,8,0,1119321.774,2303649.062,11
700070,-116.542816,32.171668,8,0,1122321.774,2303649.062,11
700071,-116.511364,32.174387,8,0,1125321.774,2303649.062,11
700072,-116.47991,32.1771,8,1,1128321.774,2303649.062,11
700073,-116.448455,32.179807,8,0,1131321.774,2303649.062,11
701110,-117.143468,32.145632,8,0,1065321.774,2306649.062,11
701111,-117.112036,32.148463,8,0,1068321.774,2306649.062,11
701112,-117.080603,32.151288,8,0,1071321.774,2306649.062,11
701113,-117.049168,32.154107,8,0,1074321.774,2306649.062,11
701114,-117.017732,32.156921,8,0,1077321.774,2306649.062,11
701115,-116.986294,32.159729,8,0,1080321.774,2306649.062,11
701116,-116.954855,32.16253,8,0,1083321.774,2306649.062,11
701117,-116.923414,32.165326,8,0,1086321.774,2306649.062,11
701118,-116.891972,32.168116,8,820,1089321.774,2306649.062,11
701119,-116.860529,32.1709,8,0,1092321.774,2306649.062,11
701120,-116.829084,32.173679,8,0,1095321.774,2306649.062,11
701121,-116.797638,32.176451,8,1,1098321.774,2306649.062,11
701122,-116.76619,32.179217,8,0,1101321.774,2306649.062,11
701123,-116.734741,32.181978,8,4,1104321.774,2306649.062,11
701124,-116.703291,32.184732,8,73,1107321.774,2306649.062,11
701125,-116.671839,32.187481,8,0,1110321.774,2306649.062,11
701126,-116.640385,32.190224,8,0,1113321.774,2306649.062,11
701127,-116.608931,32.192961,8,0,1116321.774,2306649.062,11
701128,-116.577474,32.195692,8,0,1119321.774,2306649.062,11
701129,-116.546017,32.198417,8,0,1122321.774,2306649.062,11
701130,-116.514558,32.201137,8,0,1125321.774,2306649.062,11
701131,-116.483097,32.20385,8,84,1128321.774,2306649.062,11
701132,-116.451636,32.206558,8,0,1131321.774,2306649.062,11
702169,-117.146799,32.172372,8,0,1065321.774,2309649.062,11
702170,-117.115361,32.175203,8,0,1068321.774,2309649.062,11
702171,-117.083921,32.178029,8,0,1071321.774,2309649.062,11
702172,-117.052479,32.180849,8,0,1074321.774,2309649.062,11
702173,-117.021036,32.183663,8,0,1077321.774,2309649.062,11
702174,-116.989592,32.186471,8,0,1080321.774,2309649.062,11
702175,-116.958146,32.189273,8,0,1083321.774,2309649.062,11
702176,-116.926699,32.192069,8,45,1086321.774,2309649.062,11
702177,-116.89525,32.19486,8,899,1089321.774,2309649.062,11
702178,-116.8638,32.197644,8,9,1092321.774,2309649.062,11
702179,-116.832348,32.200423,8,0,1095321.774,2309649.062,11
702180,-116.800895,32.203195,8,0,1098321.774,2309649.062,11
702181,-116.76944,32.205962,8,0,1101321.774,2309649.062,11
702182,-116.737984,32.208723,8,4,1104321.774,2309649.062,11
702183,-116.706527,32.211478,8,0,1107321.774,2309649.062,11
702184,-116.675068,32.214227,8,0,1110321.774,2309649.062,11
702185,-116.643608,32.216971,8,0,1113321.774,2309649.062,11
702186,-116.612147,32.219708,8,0,1116321.774,2309649.062,11
702187,-116.580684,32.222439,8,0,1119321.774,2309649.062,11
702188,-116.549219,32.225165,8,0,1122321.774,2309649.062,11
702189,-116.517753,32.227885,8,0,1125321.774,2309649.062,11
702190,-116.486286,32.230599,8,1,1128321.774,2309649.062,11
702191,-116.454817,32.233307,8,10,1131321.774,2309649.062,11
703228,-117.150133,32.19911,8,0,1065321.774,2312649.062,11
703229,-117.118687,32.201942,8,0,1068321.774,2312649.062,11
703230,-117.08724,32.204768,8,0,1071321.774,2312649.062,11
703231,-117.055792,32.207588,8,0,1074321.774,2312649.062,11
703232,-117.024342,32.210402,8,0,1077321.774,2312649.062,11
703233,-116.992891,32.213211,8,0,1080321.774,2312649.062,11
703234,-116.961438,32.216013,8,0,1083321.774,2312649.062,11
703235,-116.929984,32.21881,8,1811,1086321.774,2312649.062,11
703236,-116.898529,32.221601,8,3146,1089321.774,2312649.062,11
703237,-116.867072,32.224386,8,3,1092321.774,2312649.062,11
703238,-116.835613,32.227165,8,0,1095321.774,2312649.062,11
703239,-116.804153,32.229938,8,0,1098321.774,2312649.062,11
703240,-116.772692,32.232705,8,0,1101321.774,2312649.062,11
703241,-116.741229,32.235466,8,0,1104321.774,2312649.062,11
703242,-116.709765,32.238222,8,0,1107321.774,2312649.062,11
703243,-116.678299,32.240971,8,0,1110321.774,2312649.062,11
703244,-116.646832,32.243715,8,0,1113321.774,2312649.062,11
703245,-116.615364,32.246453,8,0,1116321.774,2312649.062,11
703246,-116.583894,32.249185,8,159,1119321.774,2312649.062,11
703247,-116.552423,32.251911,8,34,1122321.774,2312649.062,11
703248,-116.52095,32.254631,8,2,1125321.774,2312649.062,11
703249,-116.489476,32.257345,8,15,1128321.774,2312649.062,11
703250,-116.458001,32.260053,8,5,1131321.774,2312649.062,11
704287,-117.153468,32.225846,8,0,1065321.774,2315649.062,11
704288,-117.122015,32.228678,8,0,1068321.774,2315649.062,11
704289,-117.090562,32.231505,8,0,1071321.774,2315649.062,11
704290,-117.059106,32.234325,8,0,1074321.774,2315649.062,11
704291,-117.02765,32.23714,8,0,1077321.774,2315649.062,11
704292,-116.996192,32.239949,8,0,1080321.774,2315649.062,11
704293,-116.964732,32.242752,8,119,1083321.774,2315649.062,11
704294,-116.933271,32.245549,8,2142,1086321.774,2315649.062,11
704295,-116.901809,32.24834,8,62,1089321.774,2315649.062,11
704296,-116.870345,32.251125,8,0,1092321.774,2315649.062,11
704297,-116.83888,32.253905,8,0,1095321.774,2315649.062,11
704298,-116.807413,32.256678,8,0,1098321.774,2315649.062,11
704299,-116.775945,32.259446,8,0,1101321.774,2315649.062,11
704300,-116.744475,32.262207,8,0,1104321.774,2315649.062,11
704301,-116.713004,32.264963,8,0,1107321.774,2315649.062,11
704302,-116.681532,32.267713,8,0,1110321.774,2315649.062,11
704303,-116.650058,32.270457,8,0,1113321.774,2315649.062,11
704304,-116.618583,32.273195,8,0,1116321.774,2315649.062,11
704305,-116.587106,32.275928,8,0,1119321.774,2315649.062,11
704306,-116.555628,32.278654,8,6,1122321.774,2315649.062,11
704307,-116.524148,32.281374,8,28,1125321.774,2315649.062,11
704308,-116.492668,32.284089,8,0,1128321.774,2315649.062,11
704309,-116.461185,32.286798,8,2,1131321.774,2315649.062,11
705346,-117.156804,32.252579,8,0,1065321.774,2318649.062,11
705347,-117.125345,32.255412,8,0,1068321.774,2318649.062,11
705348,-117.093884,32.258239,8,0,1071321.774,2318649.062,11
705349,-117.062422,32.26106,8,0,1074321.774,2318649.062,11
705350,-117.030959,32.263875,8,165,1077321.774,2318649.062,11
705351,-116.999494,32.266684,8,458,1080321.774,2318649.062,11
705352,-116.968028,32.269488,8,291,1083321.774,2318649.062,11
705353,-116.93656,32.272285,8,33,1086321.774,2318649.062,11
705354,-116.905091,32.275077,8,3,1089321.774,2318649.062,11
705355,-116.87362,32.277862,8,17,1092321.774,2318649.062,11
705356,-116.842148,32.280642,8,10,1095321.774,2318649.062,11
705357,-116.810674,32.283416,8,0,1098321.774,2318649.062,11
705358,-116.779199,32.286184,8,0,1101321.774,2318649.062,11
705359,-116.747723,32.288946,8,0,1104321.774,2318649.062,11
705360,-116.716245,32.291702,8,0,1107321.774,2318649.062,11
705361,-116.684766,32.294453,8,0,1110321.774,2318649.062,11
705362,-116.653285,32.297197,8,0,1113321.774,2318649.062,11
705363,-116.621803,32.299936,8,0,1116321.774,2318649.062,11
705364,-116.590319,32.302668,8,3,1119321.774,2318649.062,11
705365,-116.558834,32.305395,8,55,1122321.774,2318649.062,11
705366,-116.527348,32.308116,8,488,1125321.774,2318649.062,11
705367,-116.49586,32.310831,8,2,1128321.774,2318649.062,11
705368,-116.464371,32.31354,8,0,1131321.774,2318649.062,11
706405,-117.160142,32.279311,8,0,1065321.774,2321649.062,11
706406,-117.128676,32.282144,8,0,1068321.774,2321649.062,11
706407,-117.097208,32.284972,8,0,1071321.774,2321649.062,11
706408,-117.06574,32.287793,8,0,1074321.774,2321649.062,11
706409,-117.034269,32.290608,8,917,1077321.774,2321649.062,11
706410,-117.002798,32.293418,8,269,1080321.774,2321649.062,11
706411,-116.971324,32.296222,8,8,1083321.774,2321649.062,11
706412,-116.93985,32.29902,8,4,1086321.774,2321649.062,11
706413,-116.908374,32.301812,8,0,1089321.774,2321649.062,11
706414,-116.876896,32.304598,8,0,1092321.774,2321649.062,11
706415,-116.845417,32.307378,8,1,1095321.774,2321649.062,11
706416,-116.813937,32.310152,8,5,1098321.774,2321649.062,11
706417,-116.782455,32.31292,8,0,1101321.774,2321649.062,11
706418,-116.750972,32.315683,8,0,1104321.774,2321649.062,11
706419,-116.719487,32.31844,8,0,1107321.774,2321649.062,11
706420,-116.688001,32.32119,8,0,1110321.774,2321649.062,11
706421,-116.656513,32.323935,8,0,1113321.774,2321649.062,11
706422,-116.625024,32.326674,8,6,1116321.774,2321649.062,11
706423,-116.593534,32.329407,8,20,1119321.774,2321649.062,11
706424,-116.562042,32.332134,8,0,1122321.774,2321649.062,11
706425,-116.530549,32.334855,8,5,1125321.774,2321649.062,11
706426,-116.499055,32.337571,8,3,1128321.774,2321649.062,11
706427,-116.467559,32.34028,8,0,1131321.774,2321649.062,11
707464,-117.163481,32.306041,8,0,1065321.774,2324649.062,11
707465,-117.132008,32.308874,8,0,1068321.774,2324649.062,11
707466,-117.100534,32.311702,8,0,1071321.774,2324649.062,11
707467,-117.069058,32.314524,8,0,1074321.774,2324649.062,11
707468,-117.037581,32.31734,8,687,1077321.774,2324649.062,11
707469,-117.006103,32.32015,8,898,1080321.774,2324649.062,11
707470,-116.974623,32.322954,8,57,1083321.774,2324649.062,11
707471,-116.943141,32.325752,8,0,1086321.774,2324649.062,11
707472,-116.911658,32.328544,8,0,1089321.774,2324649.062,11
707473,-116.880174,32.331331,8,0,1092321.774,2324649.062,11
707474,-116.848688,32.334111,8,17,1095321.774,2324649.062,11
707475,-116.817201,32.336886,8,1,1098321.774,2324649.062,11
707476,-116.785712,32.339655,8,0,1101321.774,2324649.062,11
707477,-116.754222,32.342418,8,0,1104321.774,2324649.062,11
707478,-116.722731,32.345175,8,2,1107321.774,2324649.062,11
707479,-116.691238,32.347926,8,7,1110321.774,2324649.062,11
707480,-116.659743,32.350671,8,8,1113321.774,2324649.062,11
707481,-116.628247,32.35341,8,63,1116321.774,2324649.062,11
707482,-116.59675,32.356144,8,325,1119321.774,2324649.062,11
707483,-116.565252,32.358871,8,10,1122321.774,2324649.062,11
707484,-116.533752,32.361593,8,0,1125321.774,2324649.062,11
